%time,field.header.seq,field.header.stamp,field.header.frame_id,field.temperature,field.variance
1446040559731313731,1,1446040559372610092,robocape,1875.0,1498.0
1446040559778857606,2,1446040559409267902,robocape,1875.0,1497.0
1446040559778902606,3,1446040559434741973,robocape,1875.0,1498.0
1446040559778946523,4,1446040559468369960,robocape,1881.0,1490.0
1446040559793413315,5,1446040559504259109,robocape,1875.0,1492.0
1446040559799253773,6,1446040559533895969,robocape,1875.0,1490.0
1446040559799318648,7,1446040559569572925,robocape,1873.0,1492.0
1446040559799353898,8,1446040559600877046,robocape,1873.0,1497.0
1446040559799466606,9,1446040559653276920,robocape,1875.0,1497.0
1446040559799534315,10,1446040559684083938,robocape,1875.0,1498.0
1446040559803476565,11,1446040559721590042,robocape,1880.0,1492.0
1446040559803540940,12,1446040559761656045,robocape,1875.0,1492.0
1446040559804794148,13,1446040559797429084,robocape,75.0,9218.0
1446040559835667356,14,1446040559828540086,robocape,1873.0,1498.0
1446040559863131565,15,1446040559861434936,robocape,1873.0,1497.0
1446040559902172648,16,1446040559895035982,robocape,1875.0,1498.0
1446040559928844690,17,1446040559927288055,robocape,1875.0,1497.0
1446040559961841148,18,1446040559960066080,robocape,1880.0,1492.0
1446040559995197190,19,1446040559993053913,robocape,1833.0,1490.0
1446040560026493690,20,1446040560025198936,robocape,1684.0,1492.0
1446040560060945482,21,1446040560058204889,robocape,1488.0,1497.0
1446040560096025815,22,1446040560094027042,robocape,1418.0,1498.0
1446040560124987607,23,1446040560123625993,robocape,1380.0,1497.0
1446040560226335315,24,1446040560224893093,robocape,1271.0,1498.0
1446040560278232065,25,1446040560276973009,robocape,1093.0,1490.0
1446040560343987523,26,1446040560337052106,robocape,1093.0,1497.0
1446040560371854815,27,1446040560370151042,robocape,1094.0,1497.0
1446040560492318190,28,1446040560490935087,robocape,1085.0,1498.0
1446040560526480065,29,1446040560525198936,robocape,1094.0,1495.0
1446040560621342440,30,1446040560617882966,robocape,1093.0,1497.0
1446040560655714565,31,1446040560654346942,robocape,1089.0,1497.0
1446040560684672898,32,1446040560683409929,robocape,1093.0,1492.0
1446040560723396899,33,1446040560718642950,robocape,1094.0,1492.0
1446040560769715982,34,1446040560767788887,robocape,1094.0,1493.0
1446040560801797107,35,1446040560800496101,robocape,1096.0,1498.0
1446040560852816232,36,1446040560851568937,robocape,1096.0,1498.0
1446040560981506899,37,1446040560980249881,robocape,1094.0,1492.0
1446040561018520524,38,1446040561015803098,robocape,1096.0,1497.0
1446040561062584482,39,1446040561061212062,robocape,1095.0,1495.0
1446040561096322274,40,1446040561092947959,robocape,1099.0,1497.0
1446040561211586815,41,1446040561207848072,robocape,1099.0,1492.0
1446040561259031357,42,1446040561257380962,robocape,1094.0,1492.0
1446040561324789440,43,1446040561323067903,robocape,1098.0,1497.0
1446040561357683607,44,1446040561355988025,robocape,1093.0,1497.0
1446040561478303566,45,1446040561476891994,robocape,1098.0,1492.0
1446040561511623566,46,1446040561510214090,robocape,1096.0,1498.0
1446040561545369899,47,1446040561541889905,robocape,1096.0,1498.0
1446040561587994899,48,1446040561586041927,robocape,1096.0,1498.0
1446040561639548774,49,1446040561638267040,robocape,1098.0,1490.0
1446040561746151024,50,1446040561740669965,robocape,1102.0,1493.0
1446040561840327524,51,1446040561838395118,robocape,1099.0,1497.0
1446040561873099066,52,1446040561871733903,robocape,1112.0,1490.0
1446040561937080357,53,1446040561935648918,robocape,1145.0,1490.0
1446040561987316482,54,1446040561986053943,robocape,1171.0,1493.0
1446040562131444941,55,1446040562130072116,robocape,1276.0,1492.0
1446040562228222691,56,1446040562226864099,robocape,1310.0,1492.0
1446040562265063816,57,1446040562263535022,robocape,1368.0,1498.0
1446040562300387566,58,1446040562298527002,robocape,1372.0,1497.0
1446040562334083274,59,1446040562330724954,robocape,1438.0,1498.0
1446040562494432649,60,1446040562491349935,robocape,1477.0,1497.0
1446040562574616524,61,1446040562572530031,robocape,1485.0,1498.0
1446040562607043108,62,1446040562605140924,robocape,1485.0,1490.0
1446040562721383649,63,1446040562719926118,robocape,1485.0,1492.0
1446040562792258733,64,1446040562787734985,robocape,1480.0,1498.0
1446040562903158108,65,1446040562901101112,robocape,1485.0,1490.0
1446040562969887108,66,1446040562968195915,robocape,1478.0,1497.0
1446040563021552566,67,1446040563020199060,robocape,1480.0,1498.0
1446040564039025067,68,1446040564036258935,robocape,1486.0,1492.0
1446040564063481233,69,1446040564062230110,robocape,1482.0,1485.0
1446040564083905900,70,1446040564082262992,robocape,1484.0,1478.0
1446040564109640525,71,1446040564108339071,robocape,1477.0,1485.0
1446040564133803858,72,1446040564132350921,robocape,1482.0,1478.0
1446040564158218608,73,1446040564156666040,robocape,1477.0,1485.0
1446040564183075400,74,1446040564181755065,robocape,1476.0,1485.0
1446040564208652900,75,1446040564207305908,robocape,1482.0,1480.0
1446040564234627734,76,1446040564232702016,robocape,1477.0,1485.0
1446040564259891067,77,1446040564258560895,robocape,1477.0,1485.0
1446040564283405567,78,1446040564282088994,robocape,1482.0,1478.0
1446040564307917150,79,1446040564306668996,robocape,1484.0,1478.0
1446040564335072650,80,1446040564333862066,robocape,1477.0,1485.0
1446040564359249275,81,1446040564357958078,robocape,1477.0,1485.0
1446040564383058484,82,1446040564381724119,robocape,1482.0,1478.0
1446040564409656234,83,1446040564408380985,robocape,1477.0,1485.0
1446040564437645067,84,1446040564433207035,robocape,1477.0,1485.0
1446040564458915067,85,1446040564457267999,robocape,1482.0,1478.0
1446040564483744692,86,1446040564482515096,robocape,1477.0,1485.0
1446040564511796275,87,1446040564507518053,robocape,1482.0,1478.0
1446040564533874942,88,1446040564532114028,robocape,1482.0,1480.0
1446040564558182442,89,1446040564556879997,robocape,1477.0,1486.0
1446040564583488775,90,1446040564582010030,robocape,1484.0,1480.0
1446040564607969400,91,1446040564606606960,robocape,1484.0,1480.0
1446040564633275984,92,1446040564631979942,robocape,1477.0,1485.0
1446040564658190234,93,1446040564656836986,robocape,1484.0,1478.0
1446040564684260650,94,1446040564682549953,robocape,1482.0,1478.0
1446040564708746692,95,1446040564707436084,robocape,1477.0,1485.0
1446040564742832484,96,1446040564737540006,robocape,1477.0,1486.0
1446040564764923817,97,1446040564760427951,robocape,1484.0,1485.0
1446040564788740692,98,1446040564784121990,robocape,1484.0,1478.0
1446040564808818859,99,1446040564807153940,robocape,1477.0,1485.0
1446040564836035775,100,1446040564834393024,robocape,1484.0,1480.0
1446040564862373650,101,1446040564857844114,robocape,1477.0,1485.0
1446040564883139650,102,1446040564881560087,robocape,1477.0,1485.0
1446040564909907151,103,1446040564908566951,robocape,1484.0,1480.0
1446040564939691817,104,1446040564935031890,robocape,1477.0,1485.0
1446040564959588359,105,1446040564957926034,robocape,1477.0,1485.0
1446040564983555651,106,1446040564982301950,robocape,1482.0,1478.0
1446040565009353567,107,1446040565008045911,robocape,1484.0,1485.0
1446040565033707026,108,1446040565031938076,robocape,1477.0,1485.0
