%time,field.header.seq,field.header.stamp,field.header.frame_id,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.magnetic_field_covariance0,field.magnetic_field_covariance1,field.magnetic_field_covariance2,field.magnetic_field_covariance3,field.magnetic_field_covariance4,field.magnetic_field_covariance5,field.magnetic_field_covariance6,field.magnetic_field_covariance7,field.magnetic_field_covariance8
1446040796490651719,2304,1446040796255460023,robocape_mag,24.3,25.8,-17.85,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1446040796543204178,2305,1446040796297792911,robocape_mag,24.3,25.8,-17.85,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1446040796543402553,2306,1446040796333527088,robocape_mag,24.3,25.8,-17.85,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1446040796543469511,2307,1446040796410584926,robocape_mag,55.8,5.7,-7.35,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1446040796543503761,2308,1446040796455596923,robocape_mag,55.8,5.7,-7.35,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1446040796548885553,2309,1446040796496705055,robocape_mag,55.8,5.7,-7.35,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1446040796554982636,2310,1446040796532996892,robocape_mag,55.8,5.7,-7.35,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1446040796590047178,2311,1446040796585088968,robocape_mag,26.1,22.8,-23.85,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1446040796622558219,2312,1446040796617434024,robocape_mag,26.1,22.8,-23.85,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1446040796660244594,2313,1446040796654599905,robocape_mag,26.1,22.8,-23.85,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1446040796693285469,2314,1446040796688445091,robocape_mag,26.1,22.8,-23.85,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1446040796729257761,2315,1446040796724337100,robocape_mag,25.5,-1.8,0.75,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1446040796760676511,2316,1446040796755939006,robocape_mag,25.5,-1.8,0.75,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
