%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1464075973191713415,226,1464075972968683180,,-13.3051738739,3.60060739517,-178.236907959,0.00126900000032,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.35365867615,-54.7560997009,52.7439041138,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.16112219309,-1.23061965332,10.5775829346,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1464075973191773988,227,1464075972991346974,,-14.5239534378,3.21493124962,-177.010620117,0.00181899999734,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.12195122242,-40.1219520569,48.1097602844,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.40054265137,-0.885854614258,10.4530844482,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1464075973191812165,228,1464075973011009525,,-15.4228048325,2.79935026169,-175.93661499,0.00231799995527,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-2.92682933807,-26.5243911743,38.9024391174,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.60644399414,-0.995987890625,10.7643306641,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1464075973191854144,229,1464075973033489881,,-15.9417476654,2.35895872116,-175.033004761,0.00333400000818,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-5.54878091812,-11.4634151459,28.8414649963,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.06535441895,-1.16358193377,10.7499654541,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1464075973192328362,230,1464075973055340604,,-16.1815128326,1.94123625755,-174.33480835,0.00212599989027,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-5.85365867615,-0.731707334518,19.5121955872,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.97916315918,-0.909796630859,9.68693991699,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1464075973192414039,231,1464075973077986585,,-16.257610321,1.58255207539,-173.84967041,0.00718099996448,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-3.59756112099,7.56097555161,10.2439022064,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.15633378977,-1.35511813965,9.14106193848,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1464075973192515757,232,1464075973109224418,,-16.1489200592,1.3493411541,-173.501098633,0.00220600003377,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.84146332741,15.0000009537,4.02439022064,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.7253777832,-1.36469494629,8.45153127583,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1464075973192671278,233,1464075973123223860,,-15.9234018326,1.26710164547,-173.228866577,0.00432100007311,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.78048801422,16.158536911,2.37804889679,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.35188232422,-1.33117612305,8.31266757954,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1464075973192815027,234,1464075973144026200,,-15.6953897476,1.3796132803,-173.053924561,0.00392699986696,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,14.8170728683,23.7195129395,0.304878056049,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.18027580637,-1.02950671387,8.17380446777,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1464075973192985339,235,1464075973165663277,,-15.155629158,1.61469709873,-172.866546631,0.00233999988995,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,18.2317085266,44.5121955872,0.548780500889,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.84107575684,-0.823605371094,8.39885883931,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1464075973203212968,236,1464075973188059832,,-14.1023464203,1.90301692486,-172.676010132,0.00552000012249,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,17.6829280853,77.6829299927,0.0609756112099,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.02303508301,-0.483628735352,8.8872765625,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1464075973283334941,237,1464075973208268059,,-12.3039836884,2.21141314507,-172.572296143,0.00164000003133,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,16.341463089,104.207321167,-7.98780536652,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.53461794434,-0.531512805087,9.25119521484,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1464075973283760721,238,1464075973232907263,,-9.93605709076,2.53202319145,-172.672714233,0.00211000000127,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,14.7560987473,132.926834106,-20.0609760284,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.62559760742,-0.435744702148,9.53371159526,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1464075973283806294,239,1464075973251921327,,-6.97463846207,2.82301187515,-172.942977905,0.00325500010513,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,14.5121955872,164.146347046,-28.475610733,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.78361520925,-0.588973571866,9.60074924175,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
