%time,field.header.seq,field.header.stamp,field.header.frame_id,field.temperature,field.variance
1463935260125598764,283,1463935260002442051,,1494.0,1521.0
1463935260125841524,284,1463935260016000743,,1494.0,1519.0
1463935260125882044,285,1463935260031299897,,1494.0,1521.0
1463935260125940117,286,1463935260047270401,,1494.0,1521.0
1463935260126081158,287,1463935260065913863,,1493.0,1523.0
1463935260126208762,288,1463935260103433130,,1494.0,1250.0
1463935260155384679,289,1463935260146653466,,1493.0,1383.0
1463935260194419304,290,1463935260188487089,,1494.0,1381.0
1463935260217432174,291,1463935260213227765,,1494.0,1382.0
1463935260235822668,292,1463935260225508702,,1493.0,1750.0
1463935260276293016,293,1463935260264364317,,1494.0,1520.0
1463935260289714782,294,1463935260281637212,,1494.0,1250.0
1463935260306498668,295,1463935260294858614,,1494.0,1383.0
1463935260342772471,296,1463935260325508326,,1493.0,1382.0
1463935260364834929,297,1463935260359389744,,1495.0,1385.0
1463935260381993606,298,1463935260373486715,,1494.0,1750.0
1463935260393553348,299,1463935260389691333,,1494.0,1519.0
1463935260418253555,300,1463935260414148468,,1493.0,1520.0
1463935260435145410,301,1463935260430387357,,1494.0,1518.0
1463935260475514404,302,1463935260470054271,,1493.0,1250.0
1463935260513780699,303,1463935260509818736,,1493.0,1382.0
1463935260522549203,304,1463935260518433231,,1494.0,1384.0
1463935260554737346,305,1463935260546583423,,1494.0,1383.0
1463935260567547448,306,1463935260558851756,,1494.0,1387.0
1463935260592419373,307,1463935260582841862,,1494.0,1384.0
1463935260613480949,308,1463935260598626846,,1494.0,1750.0
1463935260630620512,309,1463935260618604313,,1493.0,1518.0
1463935260661465588,310,1463935260642173952,,1494.0,1250.0
1463935260673490120,311,1463935260664710835,,1494.0,1385.0
1463935260715279160,312,1463935260693933366,,1493.0,1385.0
1463935260715786033,313,1463935260707093362,,1494.0,1384.0
1463935260750920935,314,1463935260738128177,,1494.0,1388.0
1463935260763214059,315,1463935260759776001,,1493.0,1385.0
1463935260801054210,316,1463935260769098149,,1493.0,1385.0
1463935260801493375,317,1463935260779027481,,1494.0,1384.0
1463935260847951405,318,1463935260836229424,,1493.0,1384.0
1463935260873185099,319,1463935260868229287,,1494.0,1389.0
1463935260895328807,320,1463935260885899316,,1493.0,1750.0
1463935260940350541,321,1463935260907994065,,1493.0,1522.0
1463935260953787984,322,1463935260943221935,,1493.0,1250.0
1463935261069757436,323,1463935260989180854,,1494.0,1384.0
1463935261075104392,324,1463935261011910756,,1495.0,1750.0
1463935261077662559,325,1463935261033117749,,1494.0,1520.0
1463935261078272191,326,1463935261055085572,,1494.0,1250.0
1463935261078732398,327,1463935261075932201,,1494.0,1377.0
1463935261181573625,328,1463935261094340560,,1493.0,1750.0
1463935261182103935,329,1463935261122711533,,1493.0,1516.0
1463935261182558568,330,1463935261156865085,,1493.0,1518.0
1463935261323283540,331,1463935261189694840,,1493.0,1508.0
1463935261324871241,332,1463935261216312487,,1494.0,1510.0
1463935261327703417,333,1463935261244064816,,1494.0,1509.0
1463935261328031592,334,1463935261276216189,,1493.0,1250.0
1463935261328453934,335,1463935261303951799,,1494.0,1364.0
1463935261445749683,336,1463935261329539034,,1493.0,1750.0
1463935261446252701,337,1463935261362133269,,1493.0,1495.0
1463935261446797387,338,1463935261389002686,,1564.0,1501.0
1463935261447223895,339,1463935261419462660,,1565.0,1486.0
1463935261447597800,340,1463935261445236143,,1580.0,1493.0
1463935261602602241,341,1463935261474186905,,1580.0,1494.0
1463935261604051298,342,1463935261498223156,,1580.0,1490.0
1463935261604409838,343,1463935261529822292,,1580.0,1477.0
1463935261606354048,344,1463935261558278056,,1580.0,1250.0
1463935261607952427,345,1463935261589189486,,1580.0,1336.0
1463935261711891566,346,1463935261613507038,,1580.0,1750.0
1463935261712190471,347,1463935261642445769,,1580.0,1485.0
1463935261712746718,348,1463935261670753565,,1580.0,1250.0
1463935261716596181,349,1463935261702898531,,1580.0,1366.0
1463935261835055570,350,1463935261726864887,,1580.0,1750.0
1463935261835353590,351,1463935261753627221,,1580.0,1496.0
1463935261838400504,352,1463935261786259633,,1580.0,1250.0
1463935261838913002,353,1463935261813003373,,1580.0,1366.0
1463935261925001592,354,1463935261839049512,,1580.0,1750.0
1463935261925354351,355,1463935261872704732,,1580.0,1512.0
1463935261927181895,356,1463935261898525455,,1580.0,1514.0
1463935261929126522,357,1463935261919464741,,1580.0,1522.0
1463935262001179548,358,1463935261947756964,,1580.0,1250.0
1463935262001650848,359,1463935261978645842,,1580.0,1382.0
1463935262093550611,360,1463935262005308853,,1580.0,1750.0
1463935262093897068,361,1463935262032662590,,1580.0,1527.0
1463935262094372014,362,1463935262064703339,,1580.0,1536.0
1463935262170867468,363,1463935262093495038,,1580.0,1527.0
1463935262171202102,364,1463935262124090324,,1580.0,1540.0
1463935262171639808,365,1463935262159143039,,1580.0,1521.0
1463935262246808341,366,1463935262191627900,,1580.0,1493.0
1463935262247485943,367,1463935262216586387,,1580.0,1490.0
1463935262247542349,368,1463935262245211056,,1580.0,1485.0
1463935262303290339,369,1463935262278552789,,1580.0,1444.0
1463935262398481807,370,1463935262306607096,,1580.0,1250.0
1463935262398802900,371,1463935262335828794,,1580.0,1295.0
1463935262399401283,372,1463935262364466380,,1580.0,1323.0
1463935262401375858,373,1463935262389616377,,1580.0,1328.0
1463935262490599278,374,1463935262419708748,,1580.0,1750.0
1463935262491175161,375,1463935262446518425,,1580.0,1485.0
1463935262494237596,376,1463935262476841368,,1580.0,1250.0
1463935262547496483,377,1463935262506810407,,1580.0,1440.0
1463935262547950908,378,1463935262533591698,,1580.0,1750.0
1463935262565733332,379,1463935262558052948,,1580.0,1560.0
