%time,field.header.seq,field.header.stamp,field.header.frame_id,field.temperature,field.variance
1463923066754254439,299,1463923066562215833,,1494.0,2.51999998093
1463923066754444699,300,1463923066578901230,,1494.0,2.51999998093
1463923066754489490,301,1463923066583789074,,1494.0,2.51999998093
1463923066754529959,302,1463923066606075593,,1494.0,2.51999998093
1463923066754564490,303,1463923066621160373,,1494.0,2.51999998093
1463923066754601261,304,1463923066635396874,,1493.0,2.40000009537
1463923066754639594,305,1463923066654848250,,1493.0,2.51999998093
1463923066754803812,306,1463923066675482380,,1493.0,2.51999998093
1463923066754922145,307,1463923066703101741,,1494.0,2.51999998093
1463923066755052509,308,1463923066721424892,,1494.0,2.51999998093
1463923066755133602,309,1463923066738239976,,1494.0,2.40000009537
1463923066766373398,310,1463923066763170963,,1493.0,2.40000009537
1463923066780856669,311,1463923066774897528,,1494.0,2.51999998093
1463923066796805507,312,1463923066794766558,,1493.0,2.40000009537
1463923066819980460,313,1463923066815536000,,1494.0,2.51999998093
1463923066849864655,314,1463923066837081845,,1493.0,2.40000009537
1463923066865463964,315,1463923066858438942,,1494.0,2.51999998093
1463923066888178450,316,1463923066877684797,,1493.0,2.40000009537
1463923066908211750,317,1463923066899674963,,1494.0,2.51999998093
1463923066929984417,318,1463923066917808479,,1494.0,2.51999998093
1463923066942228427,319,1463923066935544185,,1493.0,2.40000009537
1463923066969522477,320,1463923066956417898,,1494.0,2.51999998093
1463923066991249363,321,1463923066975111099,,1494.0,2.51999998093
1463923067014427806,322,1463923067006487579,,1495.0,2.51999998093
1463923067042731643,323,1463923067032805852,,1493.0,2.40000009537
1463923067071789436,324,1463923067054837842,,1494.0,2.51999998093
1463923067079862526,325,1463923067075529107,,1494.0,2.51999998093
1463923067108577768,326,1463923067102843834,,1494.0,2.51999998093
1463923067147171978,327,1463923067129678511,,1494.0,2.40000009537
1463923067231788595,328,1463923067158824168,,1494.0,2.40000009537
1463923067232444843,329,1463923067182112662,,1494.0,2.51999998093
1463923067232696560,330,1463923067204649180,,1493.0,2.40000009537
1463923067233040882,331,1463923067228260590,,1494.0,2.51999998093
1463923067272732222,332,1463923067252195800,,1493.0,2.40000009537
1463923067292518596,333,1463923067277945898,,1493.0,2.40000009537
1463923067302241315,334,1463923067299304088,,1494.0,2.51999998093
1463923067339683290,335,1463923067321612586,,1493.0,2.40000009537
1463923067413472089,336,1463923067345080299,,1494.0,2.51999998093
1463923067413908233,337,1463923067369293008,,1493.0,2.51999998093
1463923067415299946,338,1463923067391752234,,1493.0,2.51999998093
1463923067480117638,339,1463923067415229165,,1494.0,2.51999998093
1463923067480589667,340,1463923067441712698,,1494.0,2.40000009537
1463923067480998311,341,1463923067463717812,,1494.0,2.51999998093
1463923067496978087,342,1463923067486207820,,1494.0,2.51999998093
1463923067525545048,343,1463923067506161537,,1493.0,2.40000009537
1463923067529800134,344,1463923067526128587,,1493.0,2.40000009537
1463923067583109854,345,1463923067548413283,,1494.0,2.51999998093
1463923067583477352,346,1463923067568868144,,1494.0,2.40000009537
1463923067598037550,347,1463923067589052693,,1493.0,2.40000009537
1463923067613649879,348,1463923067608799744,,1494.0,2.51999998093
1463923067637517694,349,1463923067630957930,,1493.0,2.40000009537
1463923067658390261,350,1463923067651624873,,1493.0,2.40000009537
1463923067677937469,351,1463923067672121348,,1494.0,2.51999998093
1463923067725104976,352,1463923067689935230,,1493.0,2.40000009537
1463923067752194079,353,1463923067708710567,,1494.0,2.51999998093
1463923067753225585,354,1463923067727192623,,1494.0,2.51999998093
1463923067864932347,355,1463923067746855768,,1494.0,2.51999998093
1463923067865429220,356,1463923067768479738,,1495.0,2.51999998093
1463923067865686041,357,1463923067788814391,,1494.0,2.51999998093
1463923067866119165,358,1463923067807975715,,1494.0,2.51999998093
1463923067866593381,359,1463923067826185117,,1494.0,2.51999998093
1463923067866637496,360,1463923067845081494,,1494.0,2.40000009537
1463923067948029231,361,1463923067864520005,,1493.0,2.40000009537
1463923067948251261,362,1463923067884308931,,1494.0,2.51999998093
1463923067948308136,363,1463923067905403788,,1493.0,2.40000009537
1463923067948638135,364,1463923067925687920,,1494.0,2.51999998093
1463923067977030253,365,1463923067945682522,,1493.0,2.40000009537
1463923067977535355,366,1463923067966035977,,1494.0,2.51999998093
1463923067995147988,367,1463923067986147037,,1494.0,2.51999998093
1463923068008388140,368,1463923068003254151,,1494.0,2.51999998093
1463923068035722867,369,1463923068022266414,,1494.0,2.51999998093
1463923068044428194,370,1463923068040781595,,1494.0,2.51999998093
1463923068088056810,371,1463923068065738728,,1493.0,2.40000009537
1463923068092265333,372,1463923068088836181,,1494.0,2.40000009537
1463923068131278708,373,1463923068112344518,,1494.0,2.40000009537
1463923068142344494,374,1463923068131924122,,1494.0,2.51999998093
1463923068161143632,375,1463923068155113294,,1494.0,2.51999998093
1463923068186792221,376,1463923068175702789,,1494.0,2.51999998093
1463923068198728576,377,1463923068194910519,,1494.0,2.51999998093
1463923068228991467,378,1463923068215133558,,1494.0,2.51999998093
1463923068245993634,379,1463923068237577681,,1493.0,2.51999998093
1463923068268951297,380,1463923068258722434,,1494.0,2.51999998093
1463923068292110833,381,1463923068278735942,,1493.0,2.40000009537
1463923068303303181,382,1463923068298427733,,1494.0,2.51999998093
1463923068325203035,383,1463923068320434931,,1494.0,2.51999998093
1463923068351334955,384,1463923068347604971,,1493.0,2.40000009537
1463923068405599983,385,1463923068367397282,,1494.0,2.51999998093
1463923068405977221,386,1463923068387962402,,1494.0,2.51999998093
1463923068440132179,387,1463923068408070962,,1494.0,2.51999998093
1463923068440531553,388,1463923068428294209,,1493.0,2.75999999046
1463923068466008944,389,1463923068448795267,,1494.0,2.51999998093
