%time,field.header.seq,field.header.stamp,field.header.frame_id,field.temperature,field.variance
1463935342994242333,291,1463935342843605581,,1493.0,1432.0
1463935342994370874,292,1463935342871018276,,1493.0,1750.0
1463935342994484363,293,1463935342903419961,,1494.0,1495.0
1463935342994598894,294,1463935342937911584,,1495.0,1250.0
1463935342994661498,295,1463935342967290313,,1494.0,1425.0
1463935343003637293,296,1463935343001959071,,1494.0,1432.0
1463935343021081437,297,1463935343013896832,,1494.0,1434.0
1463935343021131645,298,1463935343018597177,,1494.0,1501.0
1463935343053067238,299,1463935343051118027,,1494.0,1499.0
1463935343074607146,300,1463935343070942370,,1494.0,1492.0
1463935343082477841,301,1463935343078804576,,1493.0,1498.0
1463935343100677034,302,1463935343099176103,,1494.0,1250.0
1463935343134883190,303,1463935343129565140,,1493.0,1431.0
1463935343169153668,304,1463935343166550763,,1494.0,1433.0
1463935343213732645,305,1463935343201394416,,1493.0,1433.0
1463935343244755220,306,1463935343218403927,,1494.0,1426.0
1463935343245173500,307,1463935343234515837,,1492.0,1430.0
1463935343267134187,308,1463935343258791931,,1494.0,1750.0
1463935343385682378,309,1463935343276453887,,1494.0,1497.0
1463935343385945658,310,1463935343296915674,,1494.0,1250.0
1463935343386184876,311,1463935343317196161,,1493.0,1417.0
1463935343386691072,312,1463935343343714849,,1493.0,1417.0
1463935343386738311,313,1463935343366322148,,1494.0,1418.0
1463935343387186330,314,1463935343376226116,,1494.0,1423.0
1463935343423971433,315,1463935343392571359,,1494.0,1424.0
1463935343424426275,316,1463935343418010730,,1494.0,1422.0
1463935343453974222,317,1463935343443141560,,1494.0,1424.0
1463935343470686963,318,1463935343462734028,,1494.0,1422.0
1463935343517593637,319,1463935343477403861,,1494.0,1424.0
1463935343517688845,320,1463935343500314076,,1494.0,1750.0
1463935343539954010,321,1463935343531065767,,1494.0,1496.0
1463935343573329336,322,1463935343545310237,,1494.0,1250.0
1463935343574075323,323,1463935343560373767,,1494.0,1436.0
1463935343593462219,324,1463935343586407145,,1494.0,1750.0
1463935343617468366,325,1463935343605107950,,1494.0,1504.0
1463935343641053005,326,1463935343635306467,,1494.0,1250.0
1463935343667390549,327,1463935343664818997,,1495.0,1429.0
1463935343698917758,328,1463935343685894011,,1494.0,1750.0
1463935343729035285,329,1463935343718900068,,1493.0,1504.0
1463935343768538033,330,1463935343745489225,,1494.0,1511.0
1463935343775062380,331,1463935343762380768,,1493.0,1502.0
1463935343822935821,332,1463935343789573985,,1494.0,1500.0
1463935343822973581,333,1463935343803967309,,1494.0,1501.0
1463935343861814613,334,1463935343818716725,,1494.0,1250.0
1463935343874171956,335,1463935343858710408,,1494.0,1431.0
1463935343874602579,336,1463935343868516980,,1494.0,1750.0
1463935343883690978,337,1463935343879589641,,1493.0,1500.0
1463935343949958820,338,1463935343916783962,,1493.0,1496.0
1463935343950002830,339,1463935343939458761,,1494.0,1493.0
1463935343972933617,340,1463935343967807493,,1494.0,1494.0
1463935343986619184,341,1463935343983663103,,1493.0,1494.0
1463935344031018734,342,1463935344015522602,,1494.0,1493.0
1463935344092569981,343,1463935344053109212,,1494.0,1494.0
1463935344095321323,344,1463935344069782578,,1494.0,1250.0
1463935344126067077,345,1463935344094139714,,1493.0,1439.0
1463935344126335618,346,1463935344100720467,,1493.0,1750.0
1463935344126847439,347,1463935344116428368,,1493.0,1504.0
1463935344183187614,348,1463935344132808976,,1494.0,1250.0
1463935344183566623,349,1463935344169609652,,1494.0,1422.0
1463935344251177219,350,1463935344184498650,,1494.0,1750.0
1463935344251822738,351,1463935344211167338,,1494.0,1494.0
1463935344284226766,352,1463935344255626784,,1494.0,1250.0
1463935344331348387,353,1463935344306599535,,1494.0,1425.0
1463935344378106625,354,1463935344329259177,,1494.0,1750.0
1463935344378796986,355,1463935344357849940,,1495.0,1499.0
1463935344397669093,356,1463935344388925172,,1494.0,1488.0
1463935344438953604,357,1463935344422094405,,1494.0,1484.0
1463935344459322736,358,1463935344449053561,,1494.0,1250.0
1463935344479916242,359,1463935344473345905,,1494.0,1416.0
1463935344516304680,360,1463935344497683041,,1494.0,1750.0
1463935344557219244,361,1463935344520651744,,1493.0,1483.0
1463935344557286327,362,1463935344530840868,,1493.0,1485.0
1463935344613323848,363,1463935344565059003,,1493.0,1486.0
1463935344726293001,364,1463935344614147803,,1494.0,1483.0
1463935344726396021,365,1463935344667449867,,1494.0,1490.0
1463935344727674557,366,1463935344716467886,,1494.0,1498.0
1463935344808265046,367,1463935344762533314,,1494.0,1509.0
1463935344808859210,368,1463935344779044181,,1494.0,1491.0
1463935344809215354,369,1463935344796470253,,1494.0,1492.0
1463935344809632228,370,1463935344804796571,,1493.0,1250.0
1463935344854574431,371,1463935344821095512,,1493.0,1423.0
1463935344854616723,372,1463935344841802455,,1493.0,1422.0
1463935344886442420,373,1463935344860486021,,1494.0,1423.0
1463935344924098249,374,1463935344897698414,,1494.0,1750.0
1463935344962105065,375,1463935344944191809,,1494.0,1495.0
1463935344974569179,376,1463935344968816755,,1494.0,1250.0
1463935345000023028,377,1463935344993313005,,1494.0,1421.0
1463935345352830062,378,1463935345019866641,,1494.0,1750.0
1463935345354138962,379,1463935345041379101,,1494.0,1492.0
1463935345354192191,380,1463935345059826731,,1493.0,1492.0
1463935345354228128,381,1463935345080838933,,1494.0,1487.0
1463935345354264118,382,1463935345102989932,,1493.0,1484.0
1463935345354299743,383,1463935345125596606,,1494.0,1485.0
1463935345358481600,384,1463935345146105737,,1494.0,1250.0
1463935345358608266,385,1463935345166726170,,1493.0,1416.0
1463935345358655870,386,1463935345188235974,,1494.0,1413.0
1463935345358698266,387,1463935345208608855,,1493.0,1415.0
1463935345358737015,388,1463935345229049549,,1493.0,1419.0
1463935345358773682,389,1463935345247263482,,1494.0,1418.0
1463935345358811130,390,1463935345268804535,,1494.0,1750.0
1463935345358959202,391,1463935345286034826,,1494.0,1488.0
1463935345359062795,392,1463935345305931095,,1495.0,1486.0
1463935345360694715,393,1463935345326700902,,1494.0,1483.0
1463935345362028928,394,1463935345346205819,,1494.0,1250.0
1463935345746095828,395,1463935345368158902,,1494.0,1413.0
1463935345746744315,396,1463935345395106027,,1494.0,1750.0
1463935345747196396,397,1463935345419747900,,1494.0,1485.0
1463935345747763738,398,1463935345443946287,,1493.0,1250.0
1463935345748262225,399,1463935345472027781,,1494.0,1423.0
1463935345749077951,400,1463935345498359231,,1494.0,1420.0
1463935345749684719,401,1463935345522223504,,1493.0,1422.0
1463935345755831307,402,1463935345548868286,,1493.0,1750.0
1463935345762252894,403,1463935345577685350,,1494.0,1481.0
1463935345762957006,404,1463935345604948046,,1494.0,1250.0
1463935345763336536,405,1463935345625952436,,1494.0,1408.0
1463935345763795440,406,1463935345646073599,,1494.0,1404.0
1463935345764945331,407,1463935345671839323,,1494.0,1405.0
1463935345765780900,408,1463935345699788318,,1494.0,1407.0
1463935345766395845,409,1463935345737830343,,1494.0,1397.0
1463935345946351534,410,1463935345769337760,,1493.0,1750.0
1463935345946827991,411,1463935345798594562,,1494.0,1474.0
1463935345947465384,412,1463935345827246835,,1494.0,1475.0
1463935345947856580,413,1463935345864251000,,1494.0,1477.0
1463935345948341891,414,1463935345903993122,,1494.0,1250.0
1463935345948702045,415,1463935345930487384,,1493.0,1415.0
1463935346080429138,416,1463935345957469872,,1494.0,1413.0
1463935346081168771,417,1463935345989011769,,1494.0,1409.0
1463935346082066163,418,1463935346023251935,,1493.0,1750.0
1463935346083517719,419,1463935346049952602,,1493.0,1476.0
1463935346084343236,420,1463935346076675092,,1493.0,1250.0
1463935346138578577,421,1463935346106887358,,1493.0,1408.0
1463935346156594542,422,1463935346133792452,,1493.0,1750.0
1463935346187487951,423,1463935346156411678,,1493.0,1480.0
1463935346187537066,424,1463935346179446527,,1494.0,1250.0
1463935346251284554,425,1463935346203185853,,1494.0,1412.0
1463935346251372314,426,1463935346232710518,,1493.0,1409.0
1463935346289826212,427,1463935346256199533,,1493.0,1414.0
1463935346290636833,428,1463935346281341769,,1494.0,1417.0
1463935346422092834,429,1463935346316217036,,1494.0,1416.0
1463935346422995903,430,1463935346343121088,,1494.0,1414.0
1463935346423881420,431,1463935346366847080,,1495.0,1414.0
1463935346424540011,432,1463935346391525985,,1494.0,1416.0
1463935346425326362,433,1463935346407220085,,1493.0,1419.0
1463935346491012018,434,1463935346432828413,,1494.0,1750.0
1463935346492568314,435,1463935346458832625,,1494.0,1492.0
1463935346494032682,436,1463935346483078302,,1494.0,1504.0
1463935346552313683,437,1463935346508344028,,1494.0,1500.0
1463935346553826437,438,1463935346533999647,,1494.0,1500.0
1463935346604574293,439,1463935346559807245,,1493.0,1500.0
1463935346605379498,440,1463935346585340990,,1493.0,1250.0
1463935346634689894,441,1463935346615943203,,1493.0,1424.0
1463935346666553091,442,1463935346639013677,,1494.0,1750.0
1463935346715001790,443,1463935346666121582,,1494.0,1489.0
1463935346715908869,444,1463935346706865835,,1494.0,1488.0
1463935346758843946,445,1463935346746278271,,1494.0,1489.0
1463935346801143557,446,1463935346789522982,,1494.0,1497.0
1463935346852758180,447,1463935346840812971,,1494.0,1515.0
1463935346871622318,448,1463935346865358855,,1494.0,1250.0
1463935346893285559,449,1463935346884930022,,1494.0,1439.0
1463935346976328537,450,1463935346909757155,,1494.0,1432.0
1463935346976893170,451,1463935346932457579,,1494.0,1447.0
1463935346977186606,452,1463935346949520683,,1494.0,1750.0
1463935346978418528,453,1463935346969902679,,1494.0,1507.0
1463935347249713722,454,1463935346988349944,,1494.0,1250.0
1463935347249976638,455,1463935347016593105,,1494.0,1438.0
1463935347251245903,456,1463935347037106194,,1494.0,1750.0
1463935347252157827,457,1463935347057247202,,1494.0,1504.0
1463935347252581679,458,1463935347077310657,,1494.0,1250.0
1463935347252870896,459,1463935347098637181,,1494.0,1436.0
1463935347253169437,460,1463935347119521727,,1494.0,1750.0
1463935347253468915,461,1463935347138833676,,1494.0,1500.0
1463935347254235682,462,1463935347159046662,,1494.0,1250.0
1463935347255126720,463,1463935347178707828,,1493.0,1438.0
1463935347255474271,464,1463935347194515729,,1494.0,1437.0
1463935347255949373,465,1463935347215412775,,1494.0,1437.0
1463935347388906409,466,1463935347254959065,,1493.0,1440.0
1463935347388953648,467,1463935347292449581,,1493.0,1441.0
1463935347389114272,468,1463935347306221398,,1493.0,1750.0
1463935347389351094,469,1463935347323909603,,1493.0,1505.0
1463935347389406198,470,1463935347343022855,,1493.0,1502.0
1463935347389717030,471,1463935347354315254,,1493.0,1503.0
1463935347389932394,472,1463935347374254075,,1494.0,1504.0
1463935347449647920,473,1463935347397569705,,1494.0,1504.0
1463935347452396189,474,1463935347419662267,,1493.0,1507.0
1463935347557105585,475,1463935347459194962,,1494.0,1505.0
1463935347572239479,476,1463935347489342958,,1493.0,1501.0
1463935347572580988,477,1463935347514092800,,1493.0,1503.0
1463935347572676821,478,1463935347541275913,,1493.0,1250.0
1463935347572719321,479,1463935347563953785,,1494.0,1438.0
1463935347713575906,480,1463935347586748792,,1494.0,1750.0
1463935347713623666,481,1463935347611840716,,1494.0,1503.0
1463935347713888457,482,1463935347637431544,,1494.0,1250.0
1463935347713935748,483,1463935347662285917,,1494.0,1431.0
1463935347714204549,484,1463935347692598027,,1493.0,1423.0
1463935347724130132,485,1463935347712441588,,1494.0,1431.0
1463935347747471959,486,1463935347744137442,,1494.0,1750.0
1463935347790580004,487,1463935347781114107,,1494.0,1499.0
1463935347811343561,488,1463935347808601125,,1493.0,1500.0
1463935347858567317,489,1463935347829544056,,1494.0,1500.0
1463935347858733931,490,1463935347843565871,,1494.0,1499.0
1463935347871228826,491,1463935347862308395,,1493.0,1501.0
1463935347912074432,492,1463935347903641395,,1494.0,1250.0
1463935347976404157,493,1463935347957911268,,1493.0,1426.0
1463935348029720752,494,1463935348002151443,,1495.0,1750.0
1463935348247727841,495,1463935348035325416,,1494.0,1495.0
1463935348248147475,496,1463935348057138604,,1493.0,1490.0
1463935348249403407,497,1463935348078903615,,1493.0,1492.0
1463935348249742155,498,1463935348099082799,,1494.0,1250.0
1463935348250021008,499,1463935348120653853,,1494.0,1425.0
1463935348250754547,500,1463935348142333292,,1494.0,1426.0
1463935348251101004,501,1463935348162069926,,1494.0,1426.0
1463935348252882975,502,1463935348181873279,,1495.0,1426.0
1463935348253954221,503,1463935348201948662,,1494.0,1423.0
1463935348254463437,504,1463935348217888854,,1494.0,1750.0
1463935348254890519,505,1463935348246884980,,1494.0,1491.0
1463935349399428230,506,1463935348270503889,,1494.0,1250.0
1463935349400050310,507,1463935348291420571,,1494.0,1427.0
1463935349404334771,508,1463935348313273811,,1494.0,1750.0
1463935349404837529,509,1463935348336099755,,1494.0,1497.0
1463935349405739400,510,1463935348359594342,,1493.0,1250.0
1463935349407156738,511,1463935348385317044,,1494.0,1434.0
1463935349407697361,512,1463935348407285388,,1494.0,1428.0
1463935349408128505,513,1463935348427634468,,1495.0,1432.0
1463935349408773971,514,1463935348446296992,,1494.0,1433.0
1463935349410637296,515,1463935348466274511,,1494.0,1432.0
1463935349411266616,516,1463935348488604155,,1493.0,1750.0
1463935349411713542,517,1463935348512952228,,1494.0,1501.0
1463935349414593165,518,1463935348534740728,,1494.0,1250.0
1463935349415158266,519,1463935348556419073,,1493.0,1433.0
1463935349415482692,520,1463935348579057674,,1493.0,1750.0
1463935349415878628,521,1463935348601790181,,1494.0,1503.0
1463935349416526854,522,1463935348623049257,,1493.0,1506.0
1463935349417788099,523,1463935348644436197,,1494.0,1504.0
1463935349418424711,524,1463935348666095688,,1494.0,1499.0
1463935349419009292,525,1463935348688429290,,1494.0,1501.0
1463935349422077716,526,1463935348709409669,,1494.0,1250.0
1463935349423370002,527,1463935348732557591,,1493.0,1434.0
1463935349423973541,528,1463935348753837448,,1494.0,1750.0
1463935349424329008,529,1463935348775240013,,1493.0,1504.0
1463935349424917912,530,1463935348797301637,,1493.0,1250.0
1463935349426344521,531,1463935348818668525,,1493.0,1439.0
1463935349426943581,532,1463935348841682750,,1493.0,1750.0
1463935349427321704,533,1463935348863040419,,1493.0,1500.0
1463935349428319460,534,1463935348884760274,,1494.0,1503.0
1463935349428989874,535,1463935348906753669,,1493.0,1503.0
1463935349429829402,536,1463935348932058092,,1494.0,1250.0
1463935349431806737,537,1463935348954246904,,1494.0,1431.0
1463935349433403397,538,1463935348976327695,,1493.0,1750.0
1463935349434327299,539,1463935348997722395,,1493.0,1496.0
1463935349434784120,540,1463935349014537479,,1494.0,1250.0
1463935349436328645,541,1463935349036514104,,1494.0,1431.0
1463935349436764007,542,1463935349059560516,,1494.0,1750.0
1463935349437064683,543,1463935349081985889,,1493.0,1495.0
1463935349437768014,544,1463935349104016159,,1493.0,1498.0
1463935349438939883,545,1463935349125484557,,1494.0,1497.0
1463935349439550870,546,1463935349146421915,,1494.0,1493.0
1463935349439941598,547,1463935349168168697,,1494.0,1494.0
1463935349442998252,548,1463935349190810736,,1494.0,1250.0
1463935349443961372,549,1463935349213340536,,1493.0,1426.0
1463935349444427777,550,1463935349235670700,,1494.0,1425.0
1463935349444692307,551,1463935349257105088,,1494.0,1424.0
1463935349445248919,552,1463935349278231456,,1494.0,1750.0
1463935349446397925,553,1463935349299652667,,1494.0,1491.0
1463935349446877922,554,1463935349321954342,,1494.0,1486.0
1463935349447265733,555,1463935349343536541,,1493.0,1484.0
1463935349447825991,556,1463935349365180980,,1494.0,1482.0
1463935349448405624,557,1463935349387150990,,1493.0,1481.0
1463935349450763739,558,1463935349408861575,,1493.0,1250.0
1463935349453517582,559,1463935349431605071,,1494.0,1412.0
1463935349826869475,560,1463935349454100860,,1494.0,1750.0
1463935349827282650,561,1463935349475108166,,1493.0,1479.0
1463935349827868533,562,1463935349495609433,,1494.0,1250.0
1463935349828925924,563,1463935349518133034,,1494.0,1414.0
1463935349829511859,564,1463935349539835702,,1494.0,1410.0
1463935349829893577,565,1463935349561434204,,1493.0,1410.0
1463935349832436274,566,1463935349582913695,,1495.0,1414.0
1463935349833497103,567,1463935349604585894,,1495.0,1417.0
1463935349834348558,568,1463935349630819011,,1550.0,1417.0
1463935349835133033,569,1463935349651712828,,1580.0,1418.0
1463935349835996103,570,1463935349673752577,,1580.0,1750.0
1463935349836374643,571,1463935349695661650,,1580.0,1489.0
1463935349836769172,572,1463935349717325568,,1580.0,1250.0
1463935349837855001,573,1463935349739063444,,1580.0,1420.0
1463935349838519477,574,1463935349761966055,,1580.0,1750.0
1463935349839030256,575,1463935349783122162,,1580.0,1499.0
1463935349839548119,576,1463935349804551445,,1580.0,1506.0
1463935349840864519,577,1463935349826814111,,1580.0,1502.0
1463935352717474773,578,1463935349848253446,,1580.0,1250.0
1463935352718203207,579,1463935349869930020,,1580.0,1433.0
1463935352718940704,580,1463935349891543938,,1580.0,1750.0
1463935352719197578,581,1463935349906811112,,1580.0,1506.0
1463935352720486062,582,1463935349931845641,,1580.0,1504.0
1463935352721056997,583,1463935349951126079,,1580.0,1496.0
1463935352722089232,584,1463935349971487971,,1580.0,1250.0
1463935352722137461,585,1463935349991528042,,1580.0,1444.0
1463935352722174857,586,1463935350016587049,,1580.0,1750.0
1463935352722421731,587,1463935350039330546,,1580.0,1491.0
1463935352722923864,588,1463935350061387326,,1580.0,1460.0
