%time,field.header.seq,field.header.stamp,field.header.frame_id,field.temperature,field.variance
1464075790865746156,314,1464075790555833029,,1493.0,1496.0
1464075790869973645,315,1464075790579170310,,1493.0,1495.0
1464075790878164873,316,1464075790598783539,,1493.0,1494.0
1464075790878271852,317,1464075790619082130,,1492.0,1494.0
1464075790878320133,318,1464075790641280040,,1493.0,1489.0
1464075790878369664,319,1464075790662435868,,1494.0,1491.0
1464075790878415654,320,1464075790683340812,,1494.0,1490.0
1464075790878458987,321,1464075790704205912,,1493.0,1489.0
1464075790878501331,322,1464075790725569761,,1493.0,1489.0
1464075790881991738,323,1464075790748994803,,1493.0,1487.0
1464075790882112519,324,1464075790776830041,,1494.0,1486.0
1464075790882267050,325,1464075790808459435,,1494.0,1480.0
1464075790882339133,326,1464075790837620659,,1493.0,1485.0
1464075790884138451,327,1464075790876071493,,1493.0,1483.0
1464075790910529526,328,1464075790901651477,,1494.0,1477.0
1464075790988760410,329,1464075790917429612,,1493.0,1481.0
1464075790988799681,330,1464075790928988487,,1494.0,1485.0
1464075790993988260,331,1464075790940042676,,1493.0,1481.0
1464075790994044146,332,1464075790962815896,,1493.0,1484.0
1464075790994092427,333,1464075790979844600,,1493.0,1476.0
1464075791015233620,334,1464075791005396824,,1494.0,1479.0
1464075791047808064,335,1464075791027414629,,1493.0,1478.0
1464075791062936044,336,1464075791052409354,,1494.0,1481.0
1464075791074361326,337,1464075791070484670,,1493.0,1477.0
1464075791113123097,338,1464075791091840602,,1494.0,1476.0
1464075791115544653,339,1464075791112958931,,1493.0,1475.0
1464075791142931142,340,1464075791134082051,,1493.0,1475.0
1464075791154568663,341,1464075791148355347,,1493.0,1474.0
1464075791176074647,342,1464075791173593821,,1493.0,1474.0
1464075791208575966,343,1464075791194260328,,1493.0,1473.0
1464075791224332591,344,1464075791215064699,,1494.0,1472.0
1464075791250767624,345,1464075791235758341,,1493.0,1472.0
1464075791266012427,346,1464075791257024066,,1494.0,1472.0
